2011,1,0.51693,0.31204,0.37237,1.1396,0.63707,0.049532,0.53672,0.15258,0.48033,0.32539,0.29841,0.83926,1.4629,0.50606,1.1164,0.22186,0.73318,0.45477,2.0337,1.0432,0.42368,0.36281
2011,2,0.43031,0.43482,0.38488,0.44298,0.59057,0.90615,0.48849,0.17984,0.53936,0.51344,0.37541,0.2962,0.6701,0.23894,0.48542,0.25687,0.60764,0.61753,1.3806,0.46038,0.54815,0.53159
2011,3,0.4497,0.61481,0.40039,0.45133,0.60602,0.9851,0.37104,0.19529,0.62479,0.35485,0.44073,0.20132,0.65353,0.22811,0.25896,0.28174,0.58345,0.89245,1.2396,0.54819,0.73035,0.53133
2011,4,0.46268,0.63889,0.35687,0.79867,0.55038,1.9287,0.53053,0.20822,0.75185,0.46077,0.48397,0.3429,0.83587,0.30246,0.36071,0.32307,0.52058,0.94129,0.95335,0.72984,0.82565,0.63219
2011,5,1.3028,2.4515,1.2189,1.7165,1.6293,4.1603,1.6672,0.62534,2.0649,1.2488,1.7483,1.0352,1.8495,0.77969,1.0294,0.87352,1.1001,2.4967,1.7783,1.4483,2.6035,1.8702
2011,6,2.248,2.6842,2.6978,6.1465,1.98,6.1942,7.7013,1.0096,4.3644,5.385,6.0815,4.3968,3.0438,2.5422,2.4957,3.424,1.365,3.5561,2.3774,3.3871,3.2084,5.5425
2011,7,7.3926,3.7411,7.3691,3.6128,2.8827,5.2328,6.913,3.848,6.2536,5.6272,8.6622,2.4852,2.5181,1.2343,2.6068,4.7214,1.5827,3.7432,2.6026,1.9808,4.0826,6.4182
2011,8,6.9216,4.3163,8.9931,3.1401,5.045,4.0172,5.7325,4.11,6.0422,5.4117,8.2292,2.4073,1.9519,0.88002,2.5163,3.7291,1.644,3.5071,2.4393,1.7929,4.5837,6.8243
2011,9,1.3287,2.789,1.4867,3.8612,2.8157,3.2859,3.8062,1.229,2.9537,2.4434,2.5698,4.1076,3.3377,1.6954,5.0755,1.5653,1.4795,2.8542,2.3838,2.8946,3.363,2.1688
2011,10,1.2967,2.3475,2.5442,6.0752,2.4507,2.772,3.8758,1.0246,2.9142,3.5351,3.4292,5.5193,7.0464,2.0265,4.6536,1.2754,1.1556,1.9515,2.3009,6.74,2.8726,2.2205
2011,11,1.0889,1.3651,1.2102,3.4364,1.6697,1.5163,1.9077,0.70132,2.0873,1.6997,1.5324,2.2967,6.4383,0.8088,2.1627,0.92738,0.89893,1.1178,2.7248,3.8397,1.7107,1.5933
2011,12,0.90585,0.82587,0.87531,3.5766,1.1014,0.25507,1.006,0.36682,1.1818,0.7783,0.91204,2.3085,3.5198,0.75061,1.9993,0.51846,0.81599,0.78295,5.1648,3.9952,0.98114,0.84113
2012,1,0.72046,0.61339,0.67537,1.1811,0.77658,0.42173,0.58159,0.22429,0.77635,0.45995,0.6382,0.96264,1.4455,0.30231,0.99129,0.31962,0.69124,0.59003,3.2623,0.69544,0.72124,0.60958
2012,2,0.55348,0.47203,0.52127,0.38024,0.54092,1.0428,0.5008,0.16049,0.60468,0.56343,0.51173,0.32824,0.48028,0.19839,0.43411,0.21888,0.49015,0.3674,1.9634,0.41547,0.61679,0.60209
